Start epoch 0/20				
--------------------				
Epoch: [14][150/695]	Loss 2.6618e+00	Acc@1   0.42	IoU   0.41	AP50   0.48
Epoch: [14][200/695]	Loss 2.6685e+00	Acc@1   0.41	IoU   0.41	AP50   0.47
Epoch: [14][250/695]	Loss 2.6735e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [14][300/695]	Loss 2.6709e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][350/695]	Loss 2.6720e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][400/695]	Loss 2.6736e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][450/695]	Loss 2.6733e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][500/695]	Loss 2.6717e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][550/695]	Loss 2.6705e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [14][600/695]	Loss 2.6691e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [14][650/695]	Loss 2.6697e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.31	IoU   0.30	AP50   0.34	
Start epoch 15/20				
--------------------				
Epoch: [15][  0/695]	Loss 2.5282e+00	Acc@1   0.67	IoU   0.51	AP50   0.58
Epoch: [15][ 50/695]	Loss 2.6747e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][100/695]	Loss 2.6824e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [15][150/695]	Loss 2.6653e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][200/695]	Loss 2.6646e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][250/695]	Loss 2.6630e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][300/695]	Loss 2.6671e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][350/695]	Loss 2.6715e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [15][400/695]	Loss 2.6714e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][450/695]	Loss 2.6697e+00	Acc@1   0.40	IoU   0.40	AP50   0.46
Epoch: [15][500/695]	Loss 2.6694e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [15][550/695]	Loss 2.6690e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [15][600/695]	Loss 2.6699e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [15][650/695]	Loss 2.6691e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.29	IoU   0.29	AP50   0.33	
Start epoch 16/20				
--------------------				
Epoch: [16][  0/695]	Loss 2.8127e+00	Acc@1   0.33	IoU   0.28	AP50   0.33
Epoch: [16][ 50/695]	Loss 2.6913e+00	Acc@1   0.38	IoU   0.37	AP50   0.42
Epoch: [16][100/695]	Loss 2.6952e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [16][150/695]	Loss 2.6789e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [16][200/695]	Loss 2.6635e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [16][250/695]	Loss 2.6676e+00	Acc@1   0.40	IoU   0.39	AP50   0.45
Epoch: [16][300/695]	Loss 2.6667e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [16][350/695]	Loss 2.6682e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [16][400/695]	Loss 2.6669e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [16][450/695]	Loss 2.6655e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [16][500/695]	Loss 2.6650e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [16][550/695]	Loss 2.6646e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [16][600/695]	Loss 2.6645e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [16][650/695]	Loss 2.6651e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
