                    
Epoch: [15][350/695] Loss 2.4850e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [15][400/695] Loss 2.4882e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [15][450/695] Loss 2.4866e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][500/695] Loss 2.4888e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][550/695] Loss 2.4885e+00 Acc@1  0.46 IoU  0.44 AP50  0.53						
Epoch: [15][600/695] Loss 2.4896e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][650/695] Loss 2.4871e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.31 IoU  0.33 AP50  0.40						
                    
Epoch: [16][ 0/695] Loss 2.4690e+00 Acc@1  0.40 IoU  0.33 AP50  0.40						
Epoch: [16][ 50/695] Loss 2.4727e+00 Acc@1  0.48 IoU  0.45 AP50  0.53						
Epoch: [16][100/695] Loss 2.4737e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [16][150/695] Loss 2.4856e+00 Acc@1  0.45 IoU  0.43 AP50  0.50						
Epoch: [16][200/695] Loss 2.4871e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [16][250/695] Loss 2.4872e+00 Acc@1  0.46 IoU  0.44 AP50  0.51						
Epoch: [16][300/695] Loss 2.4867e+00 Acc@1  0.45 IoU  0.44 AP50  0.52						
Epoch: [16][350/695] Loss 2.4845e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [16][400/695] Loss 2.4808e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [16][450/695] Loss 2.4804e+00 Acc@1  0.47 IoU  0.45 AP50  0.53						
Epoch: [16][500/695] Loss 2.4831e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [16][550/695] Loss 2.4855e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [16][600/695] Loss 2.4831e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [16][650/695] Loss 2.4850e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.33 AP50  0.40						
                    
Epoch: [17][ 0/695] Loss 2.4420e+00 Acc@1  0.67 IoU  0.59 AP50  0.67						
Epoch: [17][ 50/695] Loss 2.4685e+00 Acc@1  0.47 IoU  0.45 AP50  0.52						
